Year,CO2
-682809,224.3560777
-682475,225.6416021
-681880,222.6967128
-681509,220.2352187
-681509,220.2352187
-680791,219.1411842
-680395,221.3062639
-679721,227.8951603
-679277,225.8085582
-679277,225.8085582
-678679,233.1080061
-678364,233.6111136
-677786,232.7010242
-677506,229.160458
-676793,220.0862371
-676379,218.2097347
-676379,218.2097347
-675652,216.5907023
-675203,219.9623846
-674582,222.5748545
-674582,222.5748545
-673458,216.1224818
-673458,216.1224818
-673079,211.6914561
-672280,204.6697456
-672280,204.6697456
-671747,201.1220986
-671747,201.1220986
-670812,197.1291522
-670202,194.7895604
-670202,194.7895604
-669509,196.8275423
-669122,194.878373
-668347,191.5141319
-668347,191.5141319
-667870,187.655537
-667870,187.655537
-666967,180.6705433
-666466,177.714661
-666466,177.714661
-665461,173.7136201
-665461,173.7136201
-664804,174.7686794
-664804,174.7686794
-663888,180.5376818
-663373,180.1665971
-663373,180.1665971
-662459,187.7670323
-662371,192.5532136
-661989,191.0224933
-660929,190.8610304
-660929,190.8610304
-660333,189.6905842
-660333,189.6905842
-659267,191.5917035
-659267,191.5917035
-658515,188.4342745
-658515,188.4342745
-657463,185.6837858
-657463,185.6837858
-657345,187.3800807
-656815,184.0981364
-655773,190.8769406
-655773,190.8769406
-655232,192.9341212
-655232,192.9341212
-654184,200.3524245
-654184,200.3524245
-653575,199.9959534
-653575,199.9959534
-652490,194.8160293
-652490,194.8160293
-651781,192.8691774
-651781,192.8691774
-650760,186.7937683
-650760,186.7937683
-650155,187.2748941
-650155,187.2748941
-648998,193.4431546
-648998,193.4431546
-648399,189.2501799
-648399,189.2501799
-647242,196.1714941
-647242,196.1714941
-646663,193.4765987
-646663,193.4765987
-645306,191.848061
-645306,191.848061
-645306,191.848061
-644428,189.885481
-644428,189.885481
-643202,195.8204274
-643202,195.8204274
-643202,195.8204274
-642352,195.3061298
-642352,195.3061298
-640908,191.5605718
-640908,191.5605718
-640908,191.5605718
-640126,191.384257
-640126,191.384257
-640126,191.384257
-638423,190.1777336
-638423,190.1777336
-638423,190.1777336
-637469,188.8477364
-637469,188.8477364
-637469,188.8477364
-635765,195.3315012
-635765,195.3315012
-635765,195.3315012
-635765,195.3315012
-634573,194.0025899
-634573,194.0025899
-634573,194.0025899
-633060,194.8593659
-633060,194.8593659
-632932,195.9498915
-632129,193.0978999
-632129,193.0978999
-632129,193.0978999
-630408,196.4991728
-630408,196.4991728
-630408,196.4991728
-629577,200.4570693
-629577,200.4570693
-627917,200.7773455
-627917,200.7773455
-627821,205.2658218
-627191,199.5241646
-627191,199.5241646
-627191,199.5241646
-625881,205.7631073
-625881,205.7631073
-625020,215.7096826
-625020,215.7096826
-624098,228.5122254
-624098,228.5122254
-623449,235.0233065
-623449,235.0233065
-622548,237.928507
-622548,237.928507
-622548,237.928507
-621106,239.1923088
-621002,243.8854525
-621002,243.8854525
-619702,243.5306836
-619702,243.5306836
-619702,243.5306836
-618335,245.8865879
-618335,245.8865879
-618335,245.8865879
-617005,248.2889334
-617005,248.2889334
-617005,248.2889334
-615661,252.6394449
-615661,252.6394449
-615661,252.6394449
-614408,252.7298005
-614408,252.7298005
